CaseUniqueId,CaseNodeId,CaseReference,ApplicationDescription,ApplicationNumber,ApplicationType,ApplicationValidated,LPACode,LPACrossReference,LPAName,PermissionSought,PreApplicationAdviceGiven,Procedure,Status
3347485,58036703,S62A/2024/0053,"Detailed planning application for use of part of the roof area as an outdoor terrace, comprising the provision of a metal canopy frame with retractable sun shade, glass balustrade and acoustic screen and provision of biodiverse green roof to part of roof top plant room.",S62A/2024/0053,Other (Non-Major Development),No,Z0116,24/02698/PINS ,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3347751,58090825,S62A/2024/0054,"Part demolition of existing two storey extension to 38 Briar Road, St Albans and creation of new building plot adjacent. Creation of new 3 bedroom two storey dwelling & new pedestrian crossover.",S62A/2024/0054,Dwellings numbering between 1 and 9,No,B1930,5/2024/1221,St Albans City Council,Planning permission,No,Written representations,New
3347982,58145337,S62A/2024/0055,"Use of external balcony area for additional office space involving installation of decking, balustrade and side partition screen.",S62A/2024/0055,Other (Non-Major Development),No,Z0116,24/02797/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3348339,58221735,S62A/2024/0056,External Alterations to existing building,S62A/2024/0056,Other (Non-Major Development),No,Z0116,24/02799/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3348598,58278364,S62A/2024/0057,Erection of 91no. dwellings with associated infrastructure and landscaping. Provision of playing field and associated clubhouse.,S62A/2024/0057,Dwellings numbering 10 or more,No,C1570,UTT/24/1898/PINS,Uttlesford District Council,Planning permission,No,Written representations,Consultation period open
3349259,58416908,S62A/2024/0058,Construction of 16 dwellings including 40% affordable housing and associated infrastructure at Land East of Ugley Village Hall,S62A/2024/0058,Dwellings numbering 10 or more,No,C1570,UTT/24/1958/PINS,Uttlesford District Council,Planning permission,No,Written representations,Consultation period open
3350786,58755851,S62A/2024/0059,Installation of vehicle charging points and associated infrastructure and associated works,S62A/2024/0059,Other (Non-Major Development),No,Z0116,24/03413/PINS,Bristol City Council,Planning permission,No,Written representations,Validation
3351146,58828961,S62A/2024/0060,"Demolition of 2no. bungalow and the construction of 5no. four bedroom houses, with associated external works",S62A/2024/0060,Dwellings numbering between 1 and 9,No,B1930,5/2024/1530,St Albans City Council,Planning permission,No,Written representations,Validation
3351641,58938529,S62A/2024/0061,"Change of use from a small dwellinghouse in multiple occupation for 3-6 people (C4), to a large dwellinghouse in multiple occupation (sui generis) for seven people, including erection of refuse and recycling stores.",S62A/2024/0061,Development of a site less than 1 hectare,No,Z0116,24/03623/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3352232,59081192,S62A/2024/0062,External alterations comprising the removal of the tower corner feature & changes to part of the roof parapet with replacement cladding & glazing alterations forming extended shopfront glazing & entrances.,S62A/2024/0062,Development of a site less than 1 hectare,No,Z0116,24/03763/PINS,Bristol City Council,Planning permission,No,Written representations,Validation
3352726,59179698,S62A/2024/0063,Works to install 3no. CCTV poles and cameras,S62A/2024/0063,Other (Non-Major Development),No,Z0116,24/03843/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3352831,59217545,S62A/2024/0064,Demolition of an existing conservatory and the erection of a two-storey dwellinghouse with associated works,S62A/2024/0064,Dwellings of less than 0.5 hectare,No,Z0116,24/03891/PINS,Bristol City Council,Planning permission,No,Written representations,New
3353379,59351210,S62A/2024/0065,"Installation of replacement windows, doors and curtain walling.",S62A/2024/0065,Other (Non-Major Development),No,Z0116,24/04013/PINS,Bristol City Council,Planning permission,No,Written representations,Decided
3353400,59357920,S62A/2024/0066,Proposed demolition of existing dwelling and erection of replacement dwelling,S62A/2024/0066,Dwellings numbering between 1 and 9,No,Z0116,24/04103/PINS,Bristol City Council,Planning permission,No,NULL,Validation
3353576,59393215,S62A/2024/0069,"Change of use from offices/clinic (Class E) to 8-bed House in Multiple Occupation (sui generis). Infill extension and external alterations including replacement windows to front and rear.
",S62A/2024/0069,Change of use,Yes,Z0116,24/04121/PINS,Bristol City Council,Planning permission,No,Written representations,New
3354625,59654772,S62A/2024/0070,"Erection of extension to the existing club to extend internal spa facilities and the installation of a spa garden which includes a sauna, plant room and store, the creation of additional parking spaces and associated works.",S62A/2024/0070,Development of a site less than 1 hectare,No,Z0116,24/04400/PINS,Bristol City Council,Planning permission,No,Written representations,Validation
3354954,59734769,S62A/2024/0071,"Provision of an additional bedroom within an existing 7-bed House in Multiple Occupation, to create an 8-bed HMO",S62A/2024/0071,Other (Non-Major Development),No,Z0116,24/04448/PINS,Bristol City Council,Planning permission,No,Written representations,New
3354970,59737373,S62A/2024/0072,Proposed self-build dwelling and associated works,S62A/2024/0072,Dwellings numbering between 1 and 9,No,Z0116,24/04484/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3356346,60055854,S62A/2024/0073,"Installation of portal entrance feature, seating, landscaping and planting, along with replacement build-up and ductwork to roof and floor finished to balconies",S62A/2024/0073,Development of a site less than 1 hectare,No,Z0116,24/04773/PINS,Bristol City Council,Planning permission,No,Written representations,New
3357271,60267979,S62A/2024/0074,"Demolition of the former school buildings and redevelopment of the site to provide a new 70-bedroom specialist dementia care home (Use Class C2), 30 dwellings (Use Class C3) together with associated access, car parking, open space and landscaping.",S62A/2024/0074,Dwellings numbering 10 or more,No,P1425,NULL,Lewes District Council,Planning permission,No,NULL,Pre-Application
3357844,60418105,S62A/2024/0075,"Reserved matters (appearance, landscaping, layout and scale); pursuant to outline planning permission ref: S62A/2023/0031 for the erection of up to 55 dwellings, associated landscaping and open space, with access from Knight Park.",S62A/2024/0075,Dwellings numbering 10 or more,No,C1570,UTT/25/0101/PINS,Uttlesford District Council,Approval of reserved matters following outline approval,No,Written representations,Application being assessed
3358488,60575261,S62A/2025/0076,"Erection of eco-village comprising 9 dwellings and community hub with associated access, parking and landscaping.",S62A/2025/0076,Dwellings numbering between 1 and 9,No,B1930,5/2025/0068,St Albans City Council,Planning permission,No,Written representations,Validation
3358911,60670811,S62A/2025/0077,Erection of 28 residential dwellings (comprising 14 affordable & 11 private market homes together with 3 self-build plots); provision of public open space and associated local amenity facilities (activating Local Green Space allocation); together with integrated landscaping and car parking (to include additional community parking facility),S62A/2025/0077,Dwellings numbering 10 or more,No,C1570,UTT/25/0151/PINS,Uttlesford District Council,Planning permission,No,Written representations,Application being assessed
3359892,60912700,S62A/2025/0078,Erection of rear dormer to facilitate loft conversion (c3),S62A/2025/0078,Other (Non-Major Development),No,Z0116,25/10513/PINS,Bristol City Council,Planning permission,No,NULL,Validation
3359924,60920269,S62A/2025/0079,"Outline application for the erection of a six-storey building comprising 9 no. self-contained flats (Access, Layout, Scale, and Appearance to be determined)",S62A/2025/0079,Dwellings numbering between 1 and 9,Yes,Z0116,25/10551/PINS,Bristol City Council,Outline planning permission with some matters reserved,No,Written representations,Decided
3360113,60971760,S62A/2025/0080,Erection of single storey rear extension at lower ground level and conversion of property from a 13-bedroom House in Multiple Occupation (HMO) to a 3-bedroom HMO at lower ground level; a 2-bedroom flat at ground floor and a 7-bedroom HMO at first and second floor,S62A/2025/0080,Dwellings of less than 0.5 hectare,No,Z0116,25/10650/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3360292,61010473,S62A/2025/0081,"Change of use from a dwellinghouse used by a single person or household (Use Class C3a) to a small dwellinghouse in multiple occupation (Use Class C4), including reinstatement of front boundary wall and front parapet wall, demolition of rear outrigger, and the erection a part single, part two-storey rear extension, and cycle and refuse/recycling storage, and installation of additional first floor front elevation window.",S62A/2025/0081,Change of use,No,Z0116,25/10702/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3360299,61009201,S62A/2025/0082,Demolition of existing building and erection of a new block of apartment comprising 9 dwellings (6 x 2 bedroom flats and 3 x 1 bedroom flats) together with the addition of PV panels and airsource heat pumps,S62A/2025/0082,Dwellings numbering between 1 and 9,No,Z0116,25/10707/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3360374,61025737,S62A/2025/0083,"Outline Planning Application with all matters reserved (except for access) for the construction of up to 71 dwellings, including 50% affordable housing, associated green and hard infrastructure, public open space, biodiversity enhancements, parking, and access.",S62A/2025/0083,Dwellings numbering 10 or more,No,C1570,NULL,Uttlesford District Council,Outline planning permission with all matters reserved,No,Written representations,Pre-Application
3360501,61058539,S62A/2025/0084,Demolition of existing rear extension and erection of a single storey rear extension; alterations to roof including construction of a rear dormer and change of use of property from a single dwelling to two flats.,S62A/2025/0084,Dwellings of less than 0.5 hectare,No,Z0116,25/10801/PINS,Bristol City Council,Planning permission,No,Written representations,Application being assessed
3360671,61099991,S62A/2025/0085,"Change of use of first floor ancillary commercial accommodation to 2no. self-contained flats. Erection of a second-floor extension to provide 2no. self-contained flats. Reconfiguration of ground floor to provide a 107sqm commercial unit, including new shopfront, and refuse/recycling and cycle storage.",S62A/2025/0085,Change of use,No,Z0116,25/10865/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3360801,61126851,S62A/2025/0086,"Approximately 100 residential dwellings, open space and access via St Edmunds Lane",S62A/2025/0086,NULL,No,C1570,NULL,Uttlesford District Council,NULL,No,NULL,Pre-Application
3361110,61205830,S62A/2025/0087,Outline planning application (all matters reserved) for 7 serviced plots for self-build and custom housebuilding,S62A/2025/0087,Dwellings numbering between 1 and 9,No,B1930,5/2025/0331,St Albans City Council,Outline planning permission with all matters reserved,No,Written representations,Consultation period open
3361117,61207413,S62A/2025/0088,"Change of ground floor from Class E to 1no. residential flat, including removal of shopfront, partial demolition of rear extension, and erection of a ground floor rear extension",S62A/2025/0088,Change of use,No,Z0116,25/10922/PINS,Bristol City Council,Planning permission,No,Written representations,New
3361296,61248526,S62A/2025/0089,"Erection of a second floor extension, and the change of use to 6no. small houses in
multiple occupation (Use Class C4).",S62A/2025/0089,Change of use,No,Z0116,NULL,Bristol City Council,Planning permission,No,NULL,NULL
3361506,61294696,S62A/2025/0090,"Erection of a second floor extension, and the change of use to 6no. small houses in multiple occupation (Use Class C4).",S62A/2025/0090,Change of use,No,Z0116,25/10970/PINS,Bristol City Council,Planning permission,No,Written representations,Decided
3361514,61295483,S62A/2025/0091,"Erection of a second floor roof extension, demolition and rebuilding of a single storey rear extension, and change of use of upper floors and part of ground floor from ancillary commercial space to a large a 8-bed HMO. New shopfronts to retained ground floor commercial units.",S62A/2025/0091,Change of use,No,Z0116,25/11000/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
3361610,61324081,S62A/2025/0092,"Ground, first and second floor extensions to 10 Melvin Square and first floor side extension to 1 Ilminster Avenue, to create 2no. large HMOs (1no. 9-bed, 1no. 7-bed), with cycle storage and retail storage at ground floor level (resubmission of planning permission 24/00433/F).",S62A/2025/0092,Dwellings of less than 0.5 hectare,No,Z0116,25/11086/PINS,Bristol City Council,Planning permission,No,Written representations,Consultation period open
