CaseReference,CaseNodeId,DocumentID,DocumentReferenceNumber,WebsiteDateOverride,Publish,DocumentType,Comment
S62A/2014/0001,16780598,16823669,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823670,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823671,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823672,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823673,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823674,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823675,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823676,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823677,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823678,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823679,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823680,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823681,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823682,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823683,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823684,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823685,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823686,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823687,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823688,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823689,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823690,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823691,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823692,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823693,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823694,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823695,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823696,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823697,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823698,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823699,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823700,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823701,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823702,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823703,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823704,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823705,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823706,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823707,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823708,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823709,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823710,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823711,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823712,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823713,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823714,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823715,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823716,NULL,NULL,Published,NULL,NULL
